Date,Semaine,Jour,Cheptel,,,,Taux de M/S,
,,,Effectif ,Morts,Cumul,Cum %,,
mercredi 18 août 2027,63,435,3009,0,278,"9,24%",,
jeudi 19 août 2027,,436,3009,0,278,"9,24%",,
vendredi 20 août 2027,,437,3009,0,278,"9,24%",,
samedi 21 août 2027,,438,3009,0,278,"9,24%",,
dimanche 22 août 2027,,439,3009,0,278,"9,24%",,
lundi 23 août 2027,,440,3009,0,278,"9,24%",,
mardi 24 août 2027,,441,3009,0,278,"9,24%",0,
mercredi 25 août 2027,64,442,3009,0,278,"9,24%",,
jeudi 26 août 2027,,443,3009,0,278,"9,24%",,
vendredi 27 août 2027,,444,3009,0,278,"9,24%",,
samedi 28 août 2027,,445,3009,0,278,"9,24%",,
dimanche 29 août 2027,,446,3009,0,278,"9,24%",,
lundi 30 août 2027,,447,3009,0,278,"9,24%",,
mardi 31 août 2027,,448,3009,0,278,"9,24%",0,
mercredi 1 septembre 2027,65,449,3009,0,278,"9,24%",,
jeudi 2 septembre 2027,,450,3009,0,278,"9,24%",,
vendredi 3 septembre 2027,,451,3009,0,278,"9,24%",,
samedi 4 septembre 2027,,452,3009,0,278,"9,24%",,
dimanche 5 septembre 2027,,453,3009,0,278,"9,24%",,
lundi 6 septembre 2027,,454,3009,0,278,"9,24%",,
mardi 7 septembre 2027,,455,3009,0,278,"9,24%",0,
mercredi 8 septembre 2027,66,456,3009,0,278,"9,24%",,
jeudi 9 septembre 2027,,457,3009,0,278,"9,24%",,
vendredi 10 septembre 2027,,458,3009,0,278,"9,24%",,
samedi 11 septembre 2027,,459,3009,0,278,"9,24%",,
dimanche 12 septembre 2027,,460,3009,0,278,"9,24%",,
lundi 13 septembre 2027,,461,3009,0,278,"9,24%",,
mardi 14 septembre 2027,,462,3009,0,278,"9,24%",0,
mercredi 15 septembre 2027,67,463,3009,0,278,"9,24%",,
jeudi 16 septembre 2027,,464,3009,0,278,"9,24%",,
vendredi 17 septembre 2027,,465,3009,0,278,"9,24%",,
samedi 18 septembre 2027,,466,3009,0,278,"9,24%",,
dimanche 19 septembre 2027,,467,3009,0,278,"9,24%",,
lundi 20 septembre 2027,,468,3009,0,278,"9,24%",,
mardi 21 septembre 2027,,469,3009,0,278,"9,24%",0,
mercredi 22 septembre 2027,68,470,3009,0,278,"9,24%",,
jeudi 23 septembre 2027,,471,3009,0,278,"9,24%",,
vendredi 24 septembre 2027,,472,3009,0,278,"9,24%",,
samedi 25 septembre 2027,,473,3009,0,278,"9,24%",,
dimanche 26 septembre 2027,,474,3009,0,278,"9,24%",,
lundi 27 septembre 2027,,475,3009,0,278,"9,24%",,
mardi 28 septembre 2027,,476,3009,0,278,"9,24%",0,
mercredi 29 septembre 2027,69,477,3009,0,278,"9,24%",,
jeudi 30 septembre 2027,,478,3009,0,278,"9,24%",,
vendredi 1 octobre 2027,,479,3009,0,278,"9,24%",,
samedi 2 octobre 2027,,480,3009,0,278,"9,24%",,
dimanche 3 octobre 2027,,481,3009,0,278,"9,24%",,
lundi 4 octobre 2027,,482,3009,0,278,"9,24%",,
mardi 5 octobre 2027,,483,3009,0,278,"9,24%",0,
mercredi 6 octobre 2027,70,484,3009,0,278,"9,24%",,
jeudi 7 octobre 2027,,485,3009,0,278,"9,24%",,
vendredi 8 octobre 2027,,486,3009,0,278,"9,24%",,
samedi 9 octobre 2027,,487,3009,0,278,"9,24%",,
dimanche 10 octobre 2027,,488,3009,0,278,"9,24%",,
lundi 11 octobre 2027,,489,3009,0,278,"9,24%",,
mardi 12 octobre 2027,,490,3009,0,278,"9,24%",0,
mercredi 13 octobre 2027,71,491,3009,0,278,"9,24%",,
jeudi 14 octobre 2027,,492,3009,0,278,"9,24%",,
vendredi 15 octobre 2027,,493,3009,0,278,"9,24%",,
samedi 16 octobre 2027,,494,3009,0,278,"9,24%",,
dimanche 17 octobre 2027,,495,3009,0,278,"9,24%",,
lundi 18 octobre 2027,,496,3009,0,278,"9,24%",,
mardi 19 octobre 2027,,497,3009,0,278,"9,24%",0,
mercredi 20 octobre 2027,72,498,3009,0,278,"9,24%",,
jeudi 21 octobre 2027,,499,3009,0,278,"9,24%",,
vendredi 22 octobre 2027,,500,3009,0,278,"9,24%",,
samedi 23 octobre 2027,,501,3009,0,278,"9,24%",,
dimanche 24 octobre 2027,,502,3009,0,278,"9,24%",,
lundi 25 octobre 2027,,503,3009,0,278,"9,24%",,
mardi 26 octobre 2027,,504,3009,0,278,"9,24%",0,
mercredi 27 octobre 2027,73,505,3009,0,278,"9,24%",,
jeudi 28 octobre 2027,,506,3009,0,278,"9,24%",,
vendredi 29 octobre 2027,,507,3009,0,278,"9,24%",,
samedi 30 octobre 2027,,508,3009,0,278,"9,24%",,
dimanche 31 octobre 2027,,509,3009,0,278,"9,24%",,
lundi 1 novembre 2027,,510,3009,0,278,"9,24%",,
mardi 2 novembre 2027,,511,3009,0,278,"9,24%",0,
mercredi 3 novembre 2027,74,512,3009,0,278,"9,24%",,
jeudi 4 novembre 2027,,513,3009,0,278,"9,24%",,
vendredi 5 novembre 2027,,514,3009,0,278,"9,24%",,
samedi 6 novembre 2027,,515,3009,0,278,"9,24%",,
dimanche 7 novembre 2027,,516,3009,0,278,"9,24%",,
lundi 8 novembre 2027,,517,3009,0,278,"9,24%",,
mardi 9 novembre 2027,,518,3009,0,278,"9,24%",0,
mercredi 10 novembre 2027,75,519,3009,0,278,"9,24%",,
jeudi 11 novembre 2027,,520,3009,0,278,"9,24%",,
vendredi 12 novembre 2027,,521,3009,0,278,"9,24%",,
samedi 13 novembre 2027,,522,3009,0,278,"9,24%",,
dimanche 14 novembre 2027,,523,3009,0,278,"9,24%",,
lundi 15 novembre 2027,,524,3009,0,278,"9,24%",,
mardi 16 novembre 2027,,525,3009,0,278,"9,24%",0,
mercredi 17 novembre 2027,76,526,3009,0,278,"9,24%",,
jeudi 18 novembre 2027,,527,3009,0,278,"9,24%",,
vendredi 19 novembre 2027,,528,3009,0,278,"9,24%",,
samedi 20 novembre 2027,,529,3009,0,278,"9,24%",,
dimanche 21 novembre 2027,,530,3009,0,278,"9,24%",,
lundi 22 novembre 2027,,531,3009,0,278,"9,24%",,
mardi 23 novembre 2027,,532,3009,0,278,"9,24%",0,
mercredi 24 novembre 2027,77,533,3009,0,278,"9,24%",,
jeudi 25 novembre 2027,,534,3009,0,278,"9,24%",,
vendredi 26 novembre 2027,,535,3009,0,278,"9,24%",,
samedi 27 novembre 2027,,536,3009,0,278,"9,24%",,
dimanche 28 novembre 2027,,537,3009,0,278,"9,24%",,
lundi 29 novembre 2027,,538,3009,0,278,"9,24%",,
mardi 30 novembre 2027,,539,3009,0,278,"9,24%",0,
mercredi 1 décembre 2027,78,540,3009,0,278,"9,24%",,
jeudi 2 décembre 2027,,541,3009,0,278,"9,24%",,
vendredi 3 décembre 2027,,542,3009,0,278,"9,24%",,
samedi 4 décembre 2027,,543,3009,0,278,"9,24%",,
dimanche 5 décembre 2027,,544,3009,0,278,"9,24%",,
lundi 6 décembre 2027,,545,3009,0,278,"9,24%",,
mardi 7 décembre 2027,,546,3009,0,278,"9,24%",0,
mercredi 8 décembre 2027,79,547,3009,0,278,"9,24%",,
jeudi 9 décembre 2027,,548,3009,0,278,"9,24%",,
vendredi 10 décembre 2027,,549,3009,0,278,"9,24%",,
samedi 11 décembre 2027,,550,3009,0,278,"9,24%",,
dimanche 12 décembre 2027,,551,3009,0,278,"9,24%",,
lundi 13 décembre 2027,,552,3009,0,278,"9,24%",,
mardi 14 décembre 2027,,553,3009,0,278,"9,24%",0,
mercredi 15 décembre 2027,80,554,3009,0,278,"9,24%",,
jeudi 16 décembre 2027,,555,3009,0,278,"9,24%",,
vendredi 17 décembre 2027,,556,3009,0,278,"9,24%",,
samedi 18 décembre 2027,,557,3009,0,278,"9,24%",,
dimanche 19 décembre 2027,,558,3009,0,278,"9,24%",,
lundi 20 décembre 2027,,559,3009,0,278,"9,24%",,
mardi 21 décembre 2027,,560,3009,0,278,"9,24%",0,
mercredi 22 décembre 2027,81,561,3009,0,278,"9,24%",,
jeudi 23 décembre 2027,,562,3009,0,278,"9,24%",,
vendredi 24 décembre 2027,,563,3009,0,278,"9,24%",,
samedi 25 décembre 2027,,564,3009,0,278,"9,24%",,
dimanche 26 décembre 2027,,565,3009,0,278,"9,24%",,
lundi 27 décembre 2027,,566,3009,0,278,"9,24%",,
mardi 28 décembre 2027,,567,3009,0,278,"9,24%",0,
mercredi 29 décembre 2027,82,568,3009,0,278,"9,24%",,
jeudi 30 décembre 2027,,569,3009,0,278,"9,24%",,
vendredi 31 décembre 2027,,570,3009,0,278,"9,24%",,
samedi 1 janvier 2028,,571,3009,0,278,"9,24%",,
dimanche 2 janvier 2028,,572,3009,0,278,"9,24%",,
lundi 3 janvier 2028,,573,3009,0,278,"9,24%",,
mardi 4 janvier 2028,,574,3009,0,278,"9,24%",0,
mercredi 5 janvier 2028,83,575,3009,0,278,"9,24%",,
jeudi 6 janvier 2028,,576,3009,0,278,"9,24%",,
vendredi 7 janvier 2028,,577,3009,0,278,"9,24%",,
samedi 8 janvier 2028,,578,3009,0,278,"9,24%",,
dimanche 9 janvier 2028,,579,3009,0,278,"9,24%",,
lundi 10 janvier 2028,,580,3009,0,278,"9,24%",,
mardi 11 janvier 2028,,581,3009,0,278,"9,24%",0,
mercredi 12 janvier 2028,84,582,3009,0,278,"9,24%",,
jeudi 13 janvier 2028,,583,3009,0,278,"9,24%",,
vendredi 14 janvier 2028,,584,3009,0,278,"9,24%",,
samedi 15 janvier 2028,,585,3009,0,278,"9,24%",,
dimanche 16 janvier 2028,,586,3009,0,278,"9,24%",,
lundi 17 janvier 2028,,587,3009,0,278,"9,24%",,
mardi 18 janvier 2028,,588,3009,0,278,"9,24%",0,
mercredi 19 janvier 2028,85,589,3009,0,278,"9,24%",,
jeudi 20 janvier 2028,,590,3009,0,278,"9,24%",,
vendredi 21 janvier 2028,,591,3009,0,278,"9,24%",,
samedi 22 janvier 2028,,592,3009,0,278,"9,24%",,
dimanche 23 janvier 2028,,593,3009,0,278,"9,24%",,
lundi 24 janvier 2028,,594,3009,0,278,"9,24%",,
mardi 25 janvier 2028,,595,3009,0,278,"9,24%",0,
mercredi 26 janvier 2028,86,596,3009,0,278,"9,24%",,
jeudi 27 janvier 2028,,597,3009,0,278,"9,24%",,
vendredi 28 janvier 2028,,598,3009,0,278,"9,24%",,
samedi 29 janvier 2028,,599,3009,0,278,"9,24%",,
dimanche 30 janvier 2028,,600,3009,0,278,"9,24%",,
lundi 31 janvier 2028,,601,3009,0,278,"9,24%",,
mardi 1 février 2028,,602,3009,0,278,"9,24%",0,
mercredi 2 février 2028,87,603,3009,0,278,"9,24%",,
jeudi 3 février 2028,,604,3009,0,278,"9,24%",,
vendredi 4 février 2028,,605,3009,0,278,"9,24%",,
samedi 5 février 2028,,606,3009,0,278,"9,24%",,
dimanche 6 février 2028,,607,3009,0,278,"9,24%",,
lundi 7 février 2028,,608,3009,0,278,"9,24%",,
mardi 8 février 2028,,609,3009,0,278,"9,24%",0,
mercredi 9 février 2028,88,610,3009,0,278,"9,24%",,
jeudi 10 février 2028,,611,3009,0,278,"9,24%",,
vendredi 11 février 2028,,612,3009,0,278,"9,24%",,
samedi 12 février 2028,,613,3009,0,278,"9,24%",,
dimanche 13 février 2028,,614,3009,0,278,"9,24%",,
lundi 14 février 2028,,615,3009,0,278,"9,24%",,
mardi 15 février 2028,,616,3009,0,278,"9,24%",0,
mercredi 16 février 2028,89,617,3009,0,278,"9,24%",,
jeudi 17 février 2028,,618,3009,0,278,"9,24%",,
vendredi 18 février 2028,,619,3009,0,278,"9,24%",,
samedi 19 février 2028,,620,3009,0,278,"9,24%",,
dimanche 20 février 2028,,621,3009,0,278,"9,24%",,
lundi 21 février 2028,,622,3009,0,278,"9,24%",,
mardi 22 février 2028,,623,3009,0,278,"9,24%",0,
mercredi 23 février 2028,90,624,3009,0,278,"9,24%",,
jeudi 24 février 2028,,625,3009,0,278,"9,24%",,
vendredi 25 février 2028,,626,3009,0,278,"9,24%",,
samedi 26 février 2028,,627,3009,0,278,"9,24%",,
dimanche 27 février 2028,,628,3009,0,278,"9,24%",,
lundi 28 février 2028,,629,3009,0,278,"9,24%",,
mardi 29 février 2028,,630,3009,0,278,"9,24%",0,
mercredi 1 mars 2028,91,631,3009,0,278,"9,24%",,
jeudi 2 mars 2028,,632,3009,0,278,"9,24%",,
vendredi 3 mars 2028,,633,3009,0,278,"9,24%",,
samedi 4 mars 2028,,634,3009,0,278,"9,24%",,
dimanche 5 mars 2028,,635,3009,0,278,"9,24%",,
lundi 6 mars 2028,,636,3009,0,278,"9,24%",,
mardi 7 mars 2028,,637,3009,0,278,"9,24%",0,
mercredi 8 mars 2028,92,638,3009,0,278,"9,24%",,
jeudi 9 mars 2028,,639,3009,0,278,"9,24%",,
vendredi 10 mars 2028,,640,3009,0,278,"9,24%",,
samedi 11 mars 2028,,641,3009,0,278,"9,24%",,
dimanche 12 mars 2028,,642,3009,0,278,"9,24%",,
lundi 13 mars 2028,,643,3009,0,278,"9,24%",,
mardi 14 mars 2028,,644,3009,0,278,"9,24%",0,
mercredi 15 mars 2028,93,645,3009,0,278,"9,24%",,
jeudi 16 mars 2028,,646,3009,0,278,"9,24%",,
vendredi 17 mars 2028,,647,3009,0,278,"9,24%",,
samedi 18 mars 2028,,648,3009,0,278,"9,24%",,
dimanche 19 mars 2028,,649,3009,0,278,"9,24%",,
lundi 20 mars 2028,,650,3009,0,278,"9,24%",,
mardi 21 mars 2028,,651,3009,0,278,"9,24%",0,
mercredi 22 mars 2028,94,652,3009,0,278,"9,24%",,
jeudi 23 mars 2028,,653,3009,0,278,"9,24%",,
vendredi 24 mars 2028,,654,3009,0,278,"9,24%",,
samedi 25 mars 2028,,655,3009,0,278,"9,24%",,
dimanche 26 mars 2028,,656,3009,0,278,"9,24%",,
lundi 27 mars 2028,,657,3009,0,278,"9,24%",,
mardi 28 mars 2028,,658,3009,0,278,"9,24%",0,
mercredi 29 mars 2028,95,659,3009,0,278,"9,24%",,
jeudi 30 mars 2028,,660,3009,0,278,"9,24%",,
vendredi 31 mars 2028,,661,3009,0,278,"9,24%",,
samedi 1 avril 2028,,662,3009,0,278,"9,24%",,
dimanche 2 avril 2028,,663,3009,0,278,"9,24%",,
lundi 3 avril 2028,,664,3009,0,278,"9,24%",,
mardi 4 avril 2028,,665,3009,0,278,"9,24%",0,
mercredi 5 avril 2028,96,666,3009,0,278,"9,24%",,
jeudi 6 avril 2028,,667,3009,0,278,"9,24%",,
vendredi 7 avril 2028,,668,3009,0,278,"9,24%",,
samedi 8 avril 2028,,669,3009,0,278,"9,24%",,
dimanche 9 avril 2028,,670,3009,0,278,"9,24%",,
lundi 10 avril 2028,,671,3009,0,278,"9,24%",,
mardi 11 avril 2028,,672,3009,0,278,"9,24%",0,
mercredi 12 avril 2028,97,673,3009,0,278,"9,24%",,
jeudi 13 avril 2028,,674,3009,0,278,"9,24%",,
vendredi 14 avril 2028,,675,3009,0,278,"9,24%",,
samedi 15 avril 2028,,676,3009,0,278,"9,24%",,
dimanche 16 avril 2028,,677,3009,0,278,"9,24%",,
lundi 17 avril 2028,,678,3009,0,278,"9,24%",,
mardi 18 avril 2028,,679,3009,0,278,"9,24%",0,
mercredi 19 avril 2028,98,680,3009,0,278,"9,24%",,
jeudi 20 avril 2028,,681,3009,0,278,"9,24%",,
vendredi 21 avril 2028,,682,3009,0,278,"9,24%",,
samedi 22 avril 2028,,683,3009,0,278,"9,24%",,
dimanche 23 avril 2028,,684,3009,0,278,"9,24%",,
lundi 24 avril 2028,,685,3009,0,278,"9,24%",,
mardi 25 avril 2028,,686,3009,0,278,"9,24%",0,
mercredi 26 avril 2028,99,687,3009,0,278,"9,24%",,
jeudi 27 avril 2028,,688,3009,0,278,"9,24%",,
vendredi 28 avril 2028,,689,3009,0,278,"9,24%",,
samedi 29 avril 2028,,690,3009,0,278,"9,24%",,
dimanche 30 avril 2028,,691,3009,0,278,"9,24%",,
lundi 1 mai 2028,,692,3009,0,278,"9,24%",,
mardi 2 mai 2028,,693,3009,0,278,"9,24%",0,
mercredi 3 mai 2028,100,694,3009,0,278,"9,24%",,
jeudi 4 mai 2028,,695,3009,0,278,"9,24%",,
vendredi 5 mai 2028,,696,3009,0,278,"9,24%",,
samedi 6 mai 2028,,697,3009,0,278,"9,24%",,
dimanche 7 mai 2028,,698,3009,0,278,"9,24%",,
lundi 8 mai 2028,,699,3009,0,278,"9,24%",,
mardi 9 mai 2028,,700,3009,0,278,"9,24%",0,
mercredi 10 mai 2028,101,701,3009,0,278,"9,24%",,
jeudi 11 mai 2028,,702,3009,0,278,"9,24%",,
vendredi 12 mai 2028,,703,3009,0,278,"9,24%",,
samedi 13 mai 2028,,704,3009,0,278,"9,24%",,
dimanche 14 mai 2028,,705,3009,0,278,"9,24%",,
lundi 15 mai 2028,,706,3009,0,278,"9,24%",,
mardi 16 mai 2028,,707,3009,0,278,"9,24%",0,
mercredi 17 mai 2028,102,708,3009,0,278,"9,24%",,
jeudi 18 mai 2028,,709,3009,0,278,"9,24%",,
vendredi 19 mai 2028,,710,3009,0,278,"9,24%",,
samedi 20 mai 2028,,711,3009,0,278,"9,24%",,
dimanche 21 mai 2028,,712,3009,0,278,"9,24%",,
lundi 22 mai 2028,,713,3009,0,278,"9,24%",,
mardi 23 mai 2028,,714,3009,0,278,"9,24%",0,
mercredi 24 mai 2028,103,715,3009,0,278,"9,24%",,
jeudi 25 mai 2028,,716,3009,0,278,"9,24%",,
vendredi 26 mai 2028,,717,3009,0,278,"9,24%",,
samedi 27 mai 2028,,718,3009,0,278,"9,24%",,
dimanche 28 mai 2028,,719,3009,0,278,"9,24%",,
lundi 29 mai 2028,,720,3009,0,278,"9,24%",,
mardi 30 mai 2028,,721,3009,0,278,"9,24%",0,
mercredi 31 mai 2028,104,722,3009,0,278,"9,24%",,
jeudi 1 juin 2028,,723,3009,0,278,"9,24%",,
vendredi 2 juin 2028,,724,3009,0,278,"9,24%",,
samedi 3 juin 2028,,725,3009,0,278,"9,24%",,
dimanche 4 juin 2028,,726,3009,0,278,"9,24%",,
lundi 5 juin 2028,,727,3009,0,278,"9,24%",,
mardi 6 juin 2028,,728,3009,0,278,"9,24%",0,
mercredi 7 juin 2028,105,729,3009,0,278,"9,24%",,
jeudi 8 juin 2028,,730,3009,0,278,"9,24%",,
vendredi 9 juin 2028,,731,3009,0,278,"9,24%",,
samedi 10 juin 2028,,732,3009,0,278,"9,24%",,
dimanche 11 juin 2028,,733,3009,0,278,"9,24%",,
lundi 12 juin 2028,,734,3009,0,278,"9,24%",,
mardi 13 juin 2028,,735,3009,0,278,"9,24%",0,
mercredi 14 juin 2028,106,736,3009,0,278,"9,24%",,
jeudi 15 juin 2028,,737,3009,0,278,"9,24%",,
vendredi 16 juin 2028,,738,3009,0,278,"9,24%",,
samedi 17 juin 2028,,739,3009,0,278,"9,24%",,
dimanche 18 juin 2028,,740,3009,0,278,"9,24%",,
lundi 19 juin 2028,,741,3009,0,278,"9,24%",,
mardi 20 juin 2028,,742,3009,0,278,"9,24%",0,
mercredi 21 juin 2028,107,743,3009,0,278,"9,24%",,
jeudi 22 juin 2028,,744,3009,0,278,"9,24%",,
vendredi 23 juin 2028,,745,3009,0,278,"9,24%",,
samedi 24 juin 2028,,746,3009,0,278,"9,24%",,
dimanche 25 juin 2028,,747,3009,0,278,"9,24%",,
lundi 26 juin 2028,,748,3009,0,278,"9,24%",,
mardi 27 juin 2028,,,,,,,,
